converged SCF energy = -23.9435624916076
         254923 function calls (247238 primitive calls) in 85.309 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      411    0.005    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:830(get_data)
        1    0.000    0.000    0.007    0.007 __init__.py:87(<module>)
        1    0.000    0.000    0.007    0.007 pathlib.py:1(<module>)
        1    0.000    0.000    0.007    0.007 _util.py:1(<module>)
      822    0.003    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
        1    0.000    0.000    0.006    0.006 numeric.py:1(<module>)
        1    0.000    0.000    0.006    0.006 attrs.py:15(<module>)
     2606    0.001    0.000    0.006    0.000 enum.py:265(__call__)
        1    0.000    0.000    0.006    0.006 tempfile.py:24(<module>)
        1    0.000    0.000    0.006    0.006 group.py:12(<module>)
        2    0.000    0.000    0.006    0.003 __init__.py:19(<module>)
        1    0.000    0.000    0.006    0.006 context.py:1(<module>)
        1    0.000    0.000    0.005    0.005 inspect.py:27(<module>)
     1657    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     6376    0.004    0.000    0.005    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.005    0.005 random.py:38(<module>)
      908    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:403(cached)
        1    0.000    0.000    0.005    0.005 uuid.py:45(<module>)
        1    0.000    0.000    0.005    0.005 pyscf_fci.py:3(<module>)
       11    0.000    0.000    0.005    0.000 numeric.py:83(zeros_like)
        1    0.000    0.000    0.005    0.005 shutil.py:5(<module>)
        8    0.000    0.000    0.005    0.001 arrayprint.py:1420(array_str)
        8    0.000    0.000    0.005    0.001 arrayprint.py:419(wrapper)
        1    0.000    0.000    0.005    0.005 reduction.py:10(<module>)
        1    0.000    0.000    0.005    0.005 __init__.py:41(<module>)
        3    0.000    0.000    0.005    0.002 arrayprint.py:465(array2string)
        1    0.000    0.000    0.005    0.005 util.py:310(find_library)
       12    0.005    0.000    0.005    0.000 {built-in method numpy.core.multiarray.copyto}
      771    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
        3    0.000    0.000    0.005    0.002 arrayprint.py:436(_array2string)
        1    0.000    0.000    0.005    0.005 _root.py:7(<module>)
        1    0.000    0.000    0.005    0.005 util.py:150(_get_soname)
      497    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
        1    0.000    0.000    0.004    0.004 diis.py:26(__init__)
        1    0.000    0.000    0.004    0.004 diis.py:87(__init__)
       60    0.004    0.000    0.004    0.000 diis.py:174(get_vec)
     1122    0.002    0.000    0.004    0.000 enum.py:801(__and__)
        1    0.000    0.000    0.004    0.004 misc.py:450(__init__)
        1    0.000    0.000    0.004    0.004 main.py:1(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:203(_sanity_check)
        7    0.000    0.000    0.004    0.001 enum.py:602(_convert)
        1    0.004    0.004    0.004    0.004 {method 'dot' of 'numpy.ndarray' objects}
    20052    0.004    0.000    0.004    0.000 {method 'rstrip' of 'str' objects}
     8080    0.004    0.000    0.004    0.000 {built-in method builtins.hasattr}
       57    0.000    0.000    0.004    0.000 {h5py._objects.with_phil}
        1    0.000    0.000    0.004    0.004 __init__.py:24(<module>)
      411    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
        1    0.000    0.000    0.004    0.004 log.py:2(<module>)
       53    0.003    0.000    0.004    0.000 dataset.py:317(__init__)
       15    0.003    0.000    0.004    0.000 files.py:321(close)
       14    0.001    0.000    0.004    0.000 hf.py:1264(_is_mem_enough)
        1    0.000    0.000    0.004    0.004 socket.py:47(<module>)
       14    0.000    0.000    0.004    0.000 files.py:357(__exit__)
      655    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
        1    0.000    0.000    0.004    0.004 npy_pkg_config.py:1(<module>)
        2    0.000    0.000    0.004    0.002 mole.py:1729(make_env)
        2    0.000    0.000    0.004    0.002 mole.py:550(make_env)
        2    0.000    0.000    0.004    0.002 subprocess.py:588(__init__)
     1657    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:78(acquire)
      708    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
        1    0.000    0.000    0.003    0.003 minimize_trustregion_constr.py:1(<module>)
        2    0.000    0.000    0.003    0.002 subprocess.py:1208(_execute_child)
        1    0.000    0.000    0.003    0.003 iterative.py:1(<module>)
        1    0.000    0.000    0.003    0.003 misc_util.py:1(<module>)
        3    0.000    0.000    0.003    0.001 arrayprint.py:650(_formatArray)
    631/3    0.001    0.000    0.003    0.001 arrayprint.py:659(recurser)
        7    0.000    0.000    0.003    0.000 enum.py:364(_create_)
        1    0.000    0.000    0.003    0.003 dataset.py:12(<module>)
        1    0.000    0.000    0.003    0.003 csr.py:1(<module>)
        1    0.000    0.000    0.003    0.003 index_tricks.py:1(<module>)
        1    0.000    0.000    0.003    0.003 __init__.py:57(<module>)
        1    0.000    0.000    0.003    0.003 hashlib.py:54(<module>)
        2    0.000    0.000    0.003    0.001 __init__.py:8(<module>)
        1    0.000    0.000    0.003    0.003 platform.py:1065(machine)
        1    0.000    0.000    0.003    0.003 platform.py:890(uname)
        1    0.000    0.000    0.003    0.003 platform.py:747(_syscmd_uname)
        1    0.000    0.000    0.003    0.003 __init__.py:97(<module>)
        1    0.000    0.000    0.003    0.003 pickle.py:24(<module>)
     1657    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:103(release)
      497    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
     9942    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        1    0.000    0.000    0.003    0.003 configparser.py:139(<module>)
    11311    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
    10582    0.002    0.000    0.003    0.000 {method 'join' of 'str' objects}
      502    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:318(__exit__)
     1994    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
      116    0.002    0.000    0.002    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      886    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
        1    0.000    0.000    0.002    0.002 pyscf_mp2.py:3(<module>)
        1    0.000    0.000    0.002    0.002 chkfile.py:139(save_mol)
        8    0.001    0.000    0.002    0.000 enum.py:124(__new__)
      411    0.002    0.000    0.002    0.000 {method 'read' of '_io.FileIO' objects}
        1    0.000    0.000    0.002    0.002 subprocess.py:42(<module>)
        1    0.000    0.000    0.002    0.002 numerictypes.py:82(<module>)
        1    0.000    0.000    0.002    0.002 runner.py:1(<module>)
      134    0.000    0.000    0.002    0.000 sre_compile.py:223(_compile_charset)
        1    0.000    0.000    0.002    0.002 dfmp2_testing.py:3(<module>)
        1    0.000    0.000    0.002    0.002 mole.py:453(intor_cross)
        1    0.000    0.000    0.002    0.002 parse.py:28(<module>)
       15    0.001    0.000    0.002    0.000 misc.py:48(current_memory)
        1    0.000    0.000    0.002    0.002 result.py:1(<module>)
        1    0.000    0.000    0.002    0.002 core.py:21(<module>)
        1    0.000    0.000    0.002    0.002 minpack.py:1(<module>)
        1    0.002    0.002    0.002    0.002 {method 'read' of '_io.BufferedReader' objects}
       65    0.000    0.000    0.002    0.000 {method 'all' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.002    0.002 financial.py:12(<module>)
        1    0.000    0.000    0.002    0.002 signals.py:1(<module>)
       34    0.000    0.000    0.002    0.000 abc.py:132(__new__)
        2    0.002    0.001    0.002    0.001 {built-in method posix.read}
     2599    0.001    0.000    0.002    0.000 enum.py:515(__new__)
        1    0.000    0.000    0.002    0.002 decoder.py:2(<module>)
       65    0.000    0.000    0.002    0.000 _methods.py:40(_all)
        1    0.000    0.000    0.002    0.002 hf_symm.py:14(<module>)
      411    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
        1    0.000    0.000    0.002    0.002 polynomial.py:4(<module>)
      369    0.001    0.000    0.002    0.000 functools.py:44(update_wrapper)
      100    0.000    0.000    0.002    0.000 mole.py:493(make_atm_env)
        1    0.000    0.000    0.002    0.002 __init__.py:88(<module>)
       12    0.002    0.000    0.002    0.000 group.py:310(__delitem__)
      286    0.001    0.000    0.002    0.000 function_base.py:4533(add_newdoc)
        1    0.000    0.000    0.002    0.002 pyscf_cc.py:3(<module>)
      497    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
