converged SCF energy = -12.7202055423917
RMP2 energy = -0.895838839268667
         255058 function calls (247388 primitive calls) in 0.556 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      496    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
      771    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
        1    0.000    0.000    0.004    0.004 util.py:310(find_library)
        1    0.000    0.000    0.004    0.004 __init__.py:203(_sanity_check)
       26    0.000    0.000    0.004    0.000 numpy_helper.py:386(ddot)
     1122    0.002    0.000    0.004    0.000 enum.py:801(__and__)
        1    0.000    0.000    0.004    0.004 util.py:150(_get_soname)
        1    0.004    0.004    0.004    0.004 {method 'dot' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.004    0.004 main.py:1(<module>)
        7    0.000    0.000    0.004    0.001 enum.py:602(_convert)
       26    0.004    0.000    0.004    0.000 numpy_helper.py:469(_dgemm)
       15    0.004    0.000    0.004    0.000 group.py:34(__init__)
        1    0.000    0.000    0.004    0.004 incore.py:19(format_aux_basis)
     8104    0.004    0.000    0.004    0.000 {built-in method builtins.hasattr}
        8    0.000    0.000    0.004    0.000 arrayprint.py:1420(array_str)
    20022    0.004    0.000    0.004    0.000 {method 'rstrip' of 'str' objects}
        8    0.000    0.000    0.004    0.000 arrayprint.py:419(wrapper)
      410    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
       13    0.000    0.000    0.004    0.000 hf.py:208(energy_tot)
        1    0.000    0.000    0.004    0.004 log.py:2(<module>)
        1    0.000    0.000    0.004    0.004 incore.py:61(fill_2c2e)
        1    0.000    0.000    0.004    0.004 npy_pkg_config.py:1(<module>)
        3    0.000    0.000    0.004    0.001 arrayprint.py:465(array2string)
       57    0.000    0.000    0.003    0.000 {h5py._objects.with_phil}
        1    0.000    0.000    0.003    0.003 __init__.py:24(<module>)
        1    0.000    0.000    0.003    0.003 minimize_trustregion_constr.py:1(<module>)
        3    0.000    0.000    0.003    0.001 arrayprint.py:436(_array2string)
        1    0.000    0.000    0.003    0.003 socket.py:47(<module>)
      654    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
     1656    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:78(acquire)
       90    0.000    0.000    0.003    0.000 mole.py:493(make_atm_env)
        2    0.000    0.000    0.003    0.002 subprocess.py:588(__init__)
        1    0.000    0.000    0.003    0.003 iterative.py:1(<module>)
      707    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
        1    0.000    0.000    0.003    0.003 platform.py:1065(machine)
        1    0.000    0.000    0.003    0.003 platform.py:890(uname)
        2    0.000    0.000    0.003    0.002 subprocess.py:1208(_execute_child)
        1    0.000    0.000    0.003    0.003 mole.py:453(intor_cross)
